    latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.7024,72.0426,346.2,1.1,1.0,2017-04-10,602,Terra,MODIS,89,6.2,318.4,38.7,D,0
22.7008,72.0529,337.1,1.1,1.0,2017-04-10,602,Terra,MODIS,78,6.2,318.4,20.9,D,0
22.709,72.0537,355.3,1.0,1.0,2017-04-19,556,Terra,MODIS,96,6.2,320.1,50.2,D,0
22.7076,72.0633,335.7,1.0,1.0,2017-04-19,556,Terra,MODIS,62,6.2,317.0,12.1,D,0
22.7058,72.0894,338.3,1.5,1.2,2018-04-14,817,Aqua,MODIS,74,6.03,316.7,28.8,D,0
22.7374,72.0779,337.3,1.3,1.1,2018-05-22,610,Terra,MODIS,72,6.03,316.7,19.9,D,0
22.7415,72.0252,320.4,2.4,1.5,2018-07-05,804,Aqua,MODIS,70,6.03,293.3,27.6,D,0
22.7406,72.0445,326.2,2.4,1.5,2018-07-05,804,Aqua,MODIS,78,6.03,292.4,45.9,D,0
22.7663,72.0704,330.0,1.2,1.1,2019-03-26,544,Terra,MODIS,71,6.03,314.4,9.7,D,0
22.7063,72.0596,358.7,1.3,1.1,2019-04-07,609,Terra,MODIS,99,6.03,319.9,80.4,D,0
22.7042,72.0717,335.9,1.3,1.1,2019-04-07,609,Terra,MODIS,76,6.03,319.8,16.1,D,0
22.7479,72.0642,353.7,1.0,1.0,2019-05-08,834,Aqua,MODIS,95,6.03,326.1,38.3,D,0
22.8154,71.9563,332.1,1.0,1.0,2020-04-11,556,Terra,MODIS,69,6.03,316.5,10.0,D,0
22.8222,71.9235,330.8,2.5,1.5,2020-04-24,525,Terra,MODIS,69,6.03,312.1,40.1,D,0
22.8157,71.9156,331.1,2.5,1.5,2020-04-24,525,Terra,MODIS,70,6.03,312.3,39.5,D,0
22.8661,71.9772,311.2,2.0,1.4,2020-07-28,620,Terra,MODIS,41,6.03,287.7,15.6,D,0
22.7407,71.9057,322.6,1.1,1.0,2020-11-12,602,Terra,MODIS,65,6.03,304.0,13.3,D,0
22.7388,71.9197,314.1,1.1,1.0,2020-11-28,602,Terra,MODIS,55,6.03,303.1,5.5,D,0
22.7372,71.9017,316.1,1.0,1.0,2021-01-30,828,Aqua,MODIS,45,6.03,305.8,6.4,D,0
22.7218,72.0768,341.0,1.0,1.0,2021-05-13,834,Aqua,MODIS,72,6.03,316.8,19.8,D,0
22.7129,72.0782,337.8,1.0,1.0,2021-05-13,834,Aqua,MODIS,67,6.03,319.2,14.0,D,0
22.7277,72.0716,333.3,1.2,1.1,2021-06-03,541,Terra,MODIS,71,6.03,309.2,17.4,D,0
22.732,72.0781,319.6,1.1,1.0,2021-06-21,840,Aqua,MODIS,59,6.03,298.1,7.2,D,0
22.6999,72.048,323.2,2.4,1.5,2021-06-27,803,Aqua,MODIS,54,6.03,295.4,22.6,D,0
22.7658,71.9,322.1,1.1,1.0,2021-10-14,558,Terra,MODIS,62,6.03,306.3,8.5,D,0
22.7784,71.9291,323.5,1.1,1.0,2021-10-14,558,Terra,MODIS,33,6.03,305.6,9.2,D,0
22.78,71.919,327.0,1.1,1.0,2021-10-14,558,Terra,MODIS,62,6.03,307.0,12.8,D,0
22.7737,71.9307,323.1,1.1,1.0,2021-10-30,557,Terra,MODIS,58,6.03,308.1,11.8,D,0
22.7768,71.9103,332.9,1.1,1.0,2021-10-30,557,Terra,MODIS,62,6.03,309.7,21.4,D,0
22.7803,71.9378,321.2,1.1,1.0,2021-10-30,557,Terra,MODIS,44,6.03,307.3,8.0,D,0
22.7404,71.9146,346.6,1.1,1.0,2021-11-15,557,Terra,MODIS,93,6.03,306.9,50.2,D,0
22.7297,71.9232,317.8,1.1,1.0,2021-11-15,557,Terra,MODIS,63,6.03,304.8,7.2,D,0
22.733,71.9074,328.5,1.1,1.0,2022-02-02,829,Aqua,MODIS,58,6.03,310.2,16.7,D,0
22.6992,72.0598,329.6,1.1,1.0,2022-05-04,1725,Terra,MODIS,100,6.03,299.6,28.0,N,0
22.6885,72.0495,336.5,1.2,1.1,2022-05-05,847,Aqua,MODIS,52,6.03,316.9,9.2,D,0
22.7498,72.0052,358.2,1.3,1.1,2022-05-17,558,Terra,MODIS,98,6.03,315.6,85.7,D,0
22.7463,72.053,345.7,1.1,1.0,2022-06-06,842,Aqua,MODIS,87,6.03,314.5,32.4,D,0
22.7371,72.0544,335.8,1.1,1.0,2022-06-06,842,Aqua,MODIS,72,6.03,315.1,12.4,D,0
22.7385,72.0646,334.1,1.1,1.0,2022-06-06,842,Aqua,MODIS,67,6.03,313.8,9.8,D,0
22.7471,72.067,331.0,1.8,1.3,2022-06-26,814,Aqua,MODIS,48,6.03,299.4,27.5,D,0
22.7294,72.0354,334.1,1.8,1.3,2022-06-26,814,Aqua,MODIS,72,6.03,298.8,37.8,D,0
22.7355,72.0695,335.1,1.8,1.3,2022-06-26,814,Aqua,MODIS,76,6.03,297.9,40.5,D,0
22.6988,72.0506,331.2,2.0,1.4,2022-07-04,901,Aqua,MODIS,79,6.03,297.2,36.9,D,0
22.7757,71.913,328.5,1.2,1.1,2022-10-17,829,Aqua,MODIS,68,6.03,310.2,14.7,D,0
22.7775,71.9242,332.6,1.2,1.1,2022-10-17,829,Aqua,MODIS,81,6.03,310.7,21.8,D,0
22.7768,71.9211,328.9,1.1,1.1,2022-10-29,548,Terra,MODIS,78,6.03,307.1,18.1,D,0
22.7752,71.9318,320.8,1.1,1.1,2022-10-29,548,Terra,MODIS,53,6.03,307.7,8.1,D,0
