date,ndvi,max_temp,min_temp,rainfall_mm,bloom
2010-01-01,0.2832,34.72166697166667,22.08916688,,0
2010-01-17,0.2646,31.10000038,15.92000008,,0
2010-02-02,0.2199,34.97181840454545,22.70818172909091,,0
2010-02-18,0.1937,34.541999436000005,20.98600006,,0
2010-03-06,0.186,33.97714287857143,22.82571411142857,,0
2010-03-22,0.1899,35.30166657666667,21.73666699833333,,0
2010-04-07,0.1926,32.52000045666667,22.343333245,,0
2010-04-23,0.1827,34.743750095,21.9462497225,,0
2010-05-09,0.1827,33.9349994625,21.657500265,,0
2010-05-25,0.2356,34.72666698,22.654444268888888,,0
2010-06-10,0.1943,34.52999878,20.38666725333333,,0
2010-06-26,0.2031,34.87909091636364,22.18909073,,0
2010-07-12,0.1895,28.77000046,15.64000034,,0
2010-07-28,0.0373,34.24499988583333,21.728333235,,0
2010-08-13,0.1554,,,,0
2010-08-29,0.062,34.104166507500004,22.32416685333333,,0
2010-09-14,0.4709,,,,0
2010-09-30,0.5214,34.06500037583333,21.7758335275,,0
2010-10-16,0.5073,,,,0
2010-11-01,0.6071,34.343333085000005,21.854166508333336,,1
2010-11-17,0.5262,30.265000345,15.554999825,,1
2010-12-03,0.2909,35.393000223,23.267999935,,0
2010-12-19,0.3136,30.976666133333328,13.826666833,,0
2011-01-01,0.3143,,,,0
2011-01-17,0.3351,,,,0
2011-02-02,0.344,,,,0
2011-02-18,0.3097,,,,0
2011-03-06,0.3714,,,,0
2011-03-22,0.3925,,,,0
2011-04-07,0.3768,,,,0
2011-04-23,0.4173,,,,0
2011-05-09,0.3143,,,,0
2011-05-25,0.2509,,,,0
2011-06-10,0.1879,,,,0
2011-06-26,0.165,,,,0
2011-07-12,0.1188,,,,0
2011-07-28,0.1398,,,,0
2011-08-13,0.2147,,,,0
2011-08-29,0.6588,,,,0
2011-09-14,0.6573,,,,0
2011-09-30,0.6311,,,,0
2011-10-16,0.6208,,,,0
2011-11-01,0.6271,,,,0
2011-11-17,0.5559,,,,0
2011-12-03,0.4888,,,,0
2011-12-19,0.3926,,,,0
2012-01-01,0.3894,,,,0
2012-01-17,0.3072,,,,0
2012-02-02,0.3189,,,,0
2012-02-18,0.3306,,,,0
2012-03-05,0.3511,,,,0
2012-03-21,0.3357,,,,0
2012-04-06,0.4137,,,,0
2012-04-22,0.4096,,,,0
2012-05-08,0.3374,,,,0
2012-05-24,0.3526,,,,0
2012-06-09,0.2847,,,,0
2012-06-25,0.1923,,,,0
2012-07-11,0.1153,,,,0
2012-07-27,0.0759,,,,0
2012-08-12,0.2519,,,,0
2012-08-28,0.0577,,,,0
2012-09-13,-0.1608,,,,0
2012-09-29,0.2342,,,,0
2012-10-15,0.1968,,,,0
2012-10-31,0.4545,,,,0
2012-11-16,0.4447,,,,0
2012-12-02,0.1243,,,,0
2012-12-18,0.09,,,,0
2013-01-01,0.2088,,,,0
2013-01-17,0.3529,,,,0
2013-02-02,0.3268,,,,0
2013-02-18,0.274,,,,0
2013-03-06,0.2257,,,,0
2013-03-22,0.4041,,,,0
2013-04-07,0.3907,,,,0
2013-04-23,0.3863,,,,0
2013-05-09,0.2843,,,,0
2013-05-25,0.281,,,,0
2013-06-10,0.2366,,,,0
2013-06-26,0.0767,,,,0
2013-07-12,0.0489,,,,0
2013-07-28,0.0956,,,,0
2013-08-13,0.0947,,,,0
2013-08-29,0.5278,,,,0
2013-09-14,0.4927,,,,0
2013-09-30,0.6361,,,,0
2013-10-16,0.5207,,,,0
2013-11-01,0.562,,,,0
2013-11-17,0.526,,,,0
2013-12-03,0.4354,,,,0
2013-12-19,0.3446,,,,0
2014-01-01,0.2892,,,,0
2014-01-17,0.2326,,,,0
2014-02-02,0.3603,,,,0
2014-02-18,0.2825,,,,0
2014-03-06,0.3054,,,,0
2014-03-22,0.3368,,,,0
2014-04-07,0.3529,,,,0
2014-04-23,0.3627,,,,0
2014-05-09,0.4068,,,,0
2014-05-25,0.3314,,,,0
2014-06-10,0.3663,,,,0
2014-06-26,0.1968,,,,0
2014-07-12,0.0796,,,,0
2014-07-28,0.0211,,,,0
2014-08-13,0.2545,,,,0
2014-08-29,0.4949,,,,0
2014-09-14,0.3578,,,,0
2014-09-30,0.6365,,,,0
2014-10-16,0.594,,,,0
2014-11-01,0.5874,,,,0
